,id,success,conc_max,min_distance,t_sim,reverse_jaccard,ctm_x,ctm_y,com_distance,var,jaccard_sim,wass,NWD,similarity,Spearman,Pearson,sum_mass,sum_dist,class_0_mf,class_0_ig,class_0_jaccard,class_1_mf,class_1_ig,class_1_jaccard,class_2_mf,class_2_ig,class_2_jaccard,class_3_mf,class_3_ig,class_3_jaccard
0,0,True,0.860075291934133,109399.61397307088,518.0833333333335,[0.93221203 0.03937008 0.09090909 0.        ],1050,2550,354.2087627217837,231077.5493712361,0.26666666666666666,443.8912858845175,0.32040073034259015,0.2935336985046284,0.9280716955179239,0.293833435417422,52.88312719649438,547020114.7427081,1766,1896,0.9322120285423038,145,66,0.03937007874015748,76,24,0.09090909090909091,13,14,0.0
1,1,True,2.35670834039081,83735.65730453221,426.8333333333334,[0.95759912 0.15       0.30081301 0.65168539],1050,2550,12.722499902956164,16270.889754700405,0.5862068965517241,66.96040361418017,0.842237411905595,0.7142221542286595,0.9333390353347589,0.16885437607658454,47.020728595462955,574709199.6104348,1948,1778,0.9575991189427313,29,69,0.15,12,80,0.3008130081300813,11,73,0.651685393258427
2,2,True,1.1670926948483307,124970.22035096485,487.6666666666668,[0.95035824 0.08641975 0.11111111 0.10714286],1050,2550,107.56371934897523,47854.54462148244,0.2619047619047619,223.4485293820903,0.5638624460944217,0.4128836039995918,0.9198088339522084,0.2258550385681782,44.876567089667134,657244806.4975361,1895,1906,0.9503582395087001,62,44,0.08641975308641975,32,35,0.1111111111111111,11,15,0.10714285714285714
3,3,True,1.3558452655433464,216958.88228666724,974.3333333333329,[0.921875   0.07042254 0.02040816 0.        ],1050,2550,389.61554015113256,43776.30732601111,0.0,413.6755382910528,0.34621112282353045,0.17310556141176522,0.9272061233015308,0.2375049722043316,54.28497762816196,792685085.1488087,1825,1907,0.921875,124,38,0.07042253521126761,36,25,0.02040816326530612,15,30,0.0
4,4,True,1.112448174021407,127442.94420190214,609.3333333333334,[0.96961895 0.13846154 0.14893617 0.38235294],1050,2550,124.46058159363825,25599.93825154798,0.5,138.75320169420291,0.700628534601904,0.600314267300952,0.9506124171531044,0.27738567428797545,56.08471080378375,670425237.5727382,1835,1913,0.9696189495365602,111,37,0.13846153846153847,34,27,0.14893617021276595,20,23,0.38235294117647056
5,5,True,0.7767071877913125,107519.37479379977,366.00000000000006,[0.88010471 0.10982659 0.10569106 0.02531646],1050,2550,440.8622639606205,199857.41902107076,0.15527950310559005,554.569240952609,0.24123772697514187,0.19825861504036596,0.920240009060002,0.2631712267681532,37.99671054728778,594116288.2354877,1807,1796,0.8801047120418848,125,96,0.10982658959537572,56,68,0.10569105691056911,12,40,0.02531645569620253
6,6,True,0.6967085191434494,105672.9851094283,578.9166666666667,[0.87632696 0.04516129 0.07284768 0.06015038],1050,2550,468.37670962422544,99062.09412117749,0.0851063829787234,597.5081015120625,0.21608745798699686,0.15059692048286014,0.9278596299649075,0.26749323208197895,51.55614384738346,563952892.0425028,1726,1768,0.8763269639065817,151,81,0.04516129032258064,70,81,0.0728476821192053,53,70,0.06015037593984962
7,7,True,0.9657470604137925,117332.72222800022,609.3333333333334,[0.9042328  0.09302326 0.05691057 0.25757576],1050,2550,208.60212846829066,167656.82329168214,0.25862068965517243,360.23441759004413,0.39705598272311976,0.3278383361891461,0.936137860534465,0.2340118156472329,51.179201713707386,604959450.7147926,1868,1800,0.9042328042328043,66,94,0.09302325581395349,35,65,0.056910569105691054,31,41,0.25757575757575757
8,8,True,1.2298594001345415,132739.82834262308,518.0833333333335,[0.91789016 0.12987013 0.16083916 0.33      ],1050,2550,317.9001857827597,22353.573545851348,0.3333333333333333,478.6168342986632,0.29310550424031295,0.31321941878682313,0.955150579787645,0.23591587155589336,56.97348499555462,613394872.7677848,1861,1764,0.9178901576943991,85,87,0.12987012987012986,29,83,0.16083916083916083,25,66,0.33
9,9,True,1.0230031069860162,101639.75324046533,366.00000000000006,[0.91344086 0.11864407 0.23943662 0.52272727],1050,2550,319.0485856417483,201590.09824889715,0.47058823529411764,473.7879272417143,0.29675724269086007,0.3836727389924889,0.9452227418056854,0.25245612925507066,47.169660173546355,585734099.7712877,1839,1780,0.9134408602150538,118,99,0.11864406779661017,31,88,0.23943661971830985,12,33,0.5227272727272727
10,10,True,1.3537141169143698,97196.28977743718,548.5000000000001,[0.92449923 0.16       0.2        0.        ],1050,2550,1040.7378997502506,13758.487032850695,0.0,1047.140824459633,0.06822279905704381,0.03411139952852191,0.9478798874699719,0.22481864493926024,56.70868336185792,571479571.9745766,1880,1874,0.9244992295839753,88,58,0.16,21,45,0.2,11,23,0.0
11,11,True,1.4336799237898699,130812.22702015325,518.0833333333335,[0.90031646 0.056      0.16546763 0.39189189],1050,2550,150.8165713712644,32255.159826112973,0.375,237.8088103982489,0.543477929952581,0.4592389649762905,0.8996226584056645,0.20160016084702082,45.99149840299044,599391571.7259729,1917,1802,0.9003164556962026,50,66,0.056,22,81,0.16546762589928057,11,51,0.3918918918918919
12,12,True,2.4831581156525,107959.55871327428,457.2500000000001,[0.92560554 0.37007874 0.43434343 0.8       ],1050,2550,53.760213198858104,16917.080633906055,0.6571428571428571,76.42327682963688,0.822047483256066,0.7395951701994616,0.9415853023963255,0.16225330640640434,58.89898823611816,607882748.8330772,1949,1670,0.9256055363321799,22,174,0.3700787401574803,17,71,0.43434343434343436,12,85,0.8
13,13,True,0.7088477839885261,129754.18249567269,670.1666666666666,[0.90922921 0.07352941 0.07462687 0.        ],1050,2550,555.6519893139503,96896.285823099,0.11229946524064172,590.9829247175353,0.21973327981639,0.16601637252851587,0.9180035280008818,0.25499261489323977,55.17657591246061,612943184.3629067,1803,1883,0.9092292089249493,95,73,0.07352941176470588,61,36,0.07462686567164178,41,8,0.0
14,14,True,1.4420961184310137,100628.89840717694,426.8333333333334,[0.93772517 0.09278351 0.10714286 0.39583333],1050,2550,171.97562991293447,52751.132409253754,0.38461538461538464,296.78056490225856,0.4672102972138237,0.42591284091460413,0.9611006192751548,0.2164028486021502,47.00389616440983,570926852.4288914,1879,1883,0.9377251672671127,94,53,0.09278350515463918,18,31,0.10714285714285714,9,33,0.3958333333333333
15,15,True,1.170919669763852,109947.10467872366,518.0833333333335,[0.92287513 0.14503817 0.12727273 0.        ],1050,2550,221.56137611602472,140933.74937226507,0.10144927536231885,331.60048488949377,0.42730482115454255,0.26437704825843067,0.9102762505690626,0.2332193175561974,50.9676205123514,560691484.3476598,1883,1833,0.922875131164743,65,75,0.1450381679389313,42,62,0.12727272727272726,10,30,0.0
16,16,True,2.0224693601531682,119471.95978641049,457.2500000000001,[0.92572006 0.04347826 0.         0.        ],1050,2550,287.1450103074132,70414.02778805583,0.03225806451612903,315.19669784649284,0.445661019839912,0.2389595421780205,0.8461972815493203,0.20410143745981124,47.99549971848973,610568044.3049998,1911,1906,0.9257200606366852,53,36,0.043478260869565216,28,34,0.0,8,24,0.0
17,17,True,0.8246775638694852,221199.65936542302,974.3333333333329,[0.84444444 0.02994012 0.06451613 0.26111111],1050,2550,208.19474387967597,79382.32027547836,0.20279720279720279,289.87266651186286,0.4755595123255864,0.3391783575613946,0.934187876546969,0.2757296653782766,54.06699489753356,823245802.5195501,1810,1702,0.8444444444444444,122,86,0.029940119760479042,47,99,0.06451612903225806,21,113,0.2611111111111111
18,18,True,0.983291128358887,138357.86187236613,670.1666666666666,[0.91253792 0.1        0.02631579 0.        ],1050,2550,537.9933136717924,136433.16508074792,0.01694915254237288,590.2506529715433,0.22014624295938579,0.11854769775087934,0.9442524485631121,0.2435304764083085,55.158413605082984,647820125.9209384,1847,1892,0.9125379170879676,93,44,0.1,38,39,0.02631578947368421,22,25,0.0
19,19,True,1.585576999323437,131466.75340755092,518.0833333333335,[0.96748374 0.         0.         0.        ],1050,2550,703.4672918322246,34948.58139028315,0.0,710.3908589035991,0.1617804640767213,0.08089023203836065,0.9329559982389996,0.16397827054683195,43.84578208323299,630786978.2451549,1933,1967,0.9674837418709354,42,20,0.0,12,8,0.0,13,5,0.0
20,20,True,1.2643410514738114,100917.63612168242,366.00000000000006,[0.87696477 0.07692308 0.07954545 0.21782178],1050,2550,452.3712574833632,157864.31647166092,0.22857142857142856,486.8846742777099,0.2869571889594602,0.25776430876544437,0.9227355866838967,0.23327096776614495,52.048639868665795,538446850.5509822,1860,1732,0.8769647696476964,97,112,0.07692307692307693,36,95,0.07954545454545454,7,61,0.21782178217821782
21,21,True,0.852902244659417,146169.6037676224,761.4166666666665,[0.93807574 0.02564103 0.11111111 0.04878049],1050,2550,497.449088869049,96108.76030588808,0.20833333333333334,538.9465298793245,0.25109744724019173,0.22971539028676252,0.9314826828706705,0.25582961855639164,48.818910649307206,640146389.4023309,1831,1894,0.9380757420675537,112,40,0.02564102564102564,36,45,0.1111111111111111,21,21,0.04878048780487805
22,22,True,1.4333906761153425,129255.09404593131,578.9166666666667,[0.93901781 0.19496855 0.14018692 0.50793651],1050,2550,44.42367979407245,44237.61206602783,0.543859649122807,87.33751146609863,0.7993612265328645,0.6716104378278358,0.925025611756403,0.19334547681910164,55.711621314921615,639272171.8338335,1909,1797,0.9390178089584458,44,95,0.1949685534591195,21,61,0.14018691588785046,26,47,0.5079365079365079
23,23,True,3.72159577290831,131306.76726401184,670.1666666666666,[0.89861996 0.06010929 0.07317073 0.34722222],1050,2550,155.63490039904997,5815.01886879522,0.07142857142857142,164.57014715109582,0.6557506058806845,0.3635895886546279,0.9483486720871679,0.1458284335846906,59.01038039433065,706838580.0547136,1944,1789,0.898619957537155,41,97,0.060109289617486336,10,66,0.07317073170731707,5,48,0.3472222222222222
24,24,True,2.1785191945087847,121316.38438252606,791.8333333333331,[0.87865055 0.01123596 0.01234568 0.        ],1050,2550,441.8671542797111,18227.292500383355,0.0,446.6454830175718,0.31814601712199103,0.15907300856099552,0.9165033071258267,0.14092736857962165,58.121955313864824,643343134.7948445,1947,1866,0.87865055387714,24,45,0.011235955056179775,17,41,0.012345679012345678,12,48,0.0
25,25,True,1.1312822458900136,163828.44380966184,639.75,[0.93265086 0.104      0.06060606 0.37755102],1050,2550,162.07588077916063,14904.47668168039,0.30303030303030304,242.77346125219725,0.5366033733453227,0.4198168381878129,0.9298637684659422,0.2359546620804798,53.60495477040405,685644440.770653,1851,1794,0.9326508620689655,108,69,0.104,25,70,0.06060606060606061,16,67,0.37755102040816324
26,26,True,0.8090159988659644,147576.0235695435,730.9999999999999,[0.90773333 0.07096774 0.2278481  0.01612903],1050,2550,498.17905953024786,184178.39578403338,0.16455696202531644,580.3332532111262,0.2258161779469015,0.19518656998610898,0.9452301713075429,0.2661192441108889,52.14621971726436,650524452.9425201,1836,1789,0.9077333333333333,90,83,0.07096774193548387,46,97,0.22784810126582278,28,31,0.016129032258064516
27,27,True,1.3891453264053493,116088.04961876446,457.2500000000001,[0.94450431 0.2375     0.18518519 0.46969697],1050,2550,68.62424645001559,47457.384414385306,0.4090909090909091,116.48411216598072,0.7417988155278231,0.5754448623093661,0.794247848061962,0.2089323339277452,42.35089469698937,574577334.2465048,1885,1805,0.9445043103448276,83,99,0.2375,21,48,0.18518518518518517,11,48,0.4696969696969697
28,28,True,1.057996556764039,117975.2732538147,548.5000000000001,[0.88120468 0.08333333 0.14414414 0.47321429],1050,2550,200.87532929806227,48682.76913867219,0.3939393939393939,211.340613873585,0.5816426577545537,0.4877910258469738,0.9572667983166996,0.22065846350516172,55.53539044352416,623704972.2547026,1897,1687,0.8812046848856665,45,104,0.08333333333333333,31,127,0.14414414414414414,27,82,0.4732142857142857
29,29,True,0.6028352089957123,111138.12300718065,487.6666666666668,[0.90992366 0.01052632 0.         0.        ],1050,2550,493.6745927110836,237527.5369406282,0.1553398058252427,556.380107057587,0.2401201972530126,0.19773000153912765,0.9396319284079822,0.292657512171115,45.67313118211654,565389193.2217262,1769,1877,0.9099236641221374,127,48,0.010526315789473684,76,35,0.0,28,40,0.0
30,30,True,1.443333549722444,135327.80294798236,548.5000000000001,[0.89878113 0.08965517 0.04132231 0.20909091],1050,2550,255.13917346551958,53849.39612420629,0.1780821917808219,351.11947214720266,0.4064451307380781,0.29226366125945,0.9209042032260507,0.19524829244998748,43.42511299439516,644625874.101573,1933,1792,0.8987811340752517,40,79,0.0896551724137931,17,63,0.04132231404958678,10,66,0.20909090909090908
31,31,True,1.767853135139336,123734.53974674866,518.0833333333335,[0.92977681 0.16546763 0.25423729 0.76829268],1050,2550,37.57541542338744,57943.47345533324,0.6226415094339622,88.34722722383275,0.7972943452636497,0.709967927348806,0.9566565576641394,0.18013387336417253,48.872211512180314,614531629.210426,1935,1773,0.929776810016331,33,81,0.16546762589928057,22,74,0.2542372881355932,10,72,0.7682926829268293
32,32,True,2.017299221210144,123975.70159456575,609.3333333333334,[0.984375   0.03225806 0.14285714 0.66666667],1050,2550,270.4403746101564,140800.8999318597,0.4375,408.5366249347095,0.3508032312193732,0.3941516156096866,0.967249423812356,0.2259273087356034,54.24933940687692,622815930.2296289,1844,1969,0.984375,124,16,0.03225806451612903,24,8,0.14285714285714285,8,7,0.6666666666666666
33,33,True,1.344205799629914,111661.88577573541,548.5000000000001,[0.92511462 0.         0.025      0.3       ],1050,2550,342.97924955454664,73512.52246707806,0.2903225806451613,372.0509037752764,0.38520613347722493,0.3377643570611931,0.9269167942291985,0.21149110270659371,46.28068799553824,597882711.6598283,1921,1890,0.9251146204788588,45,37,0.0,23,41,0.025,11,32,0.3
34,34,True,1.367459015658381,106970.71848061233,609.3333333333334,[0.89916405 0.07462687 0.136      0.01282051],1050,2550,360.02724543404366,163151.87875219362,0.030303030303030304,417.4355650641093,0.342889307442215,0.18659616887262265,0.9443509745877436,0.1992728297828965,49.45715041679707,600149544.8016026,1901,1818,0.8991640543364682,51,72,0.07462686567164178,35,71,0.136,13,39,0.01282051282051282
35,35,True,2.226424512331893,104955.36798274322,426.8333333333334,[0.9267101  0.16883117 0.21276596 0.6185567 ],1050,2550,54.7345208126922,38682.26689423473,0.6296296296296297,87.58113121817136,0.7988620486541503,0.71424583914189,0.9398754234688558,0.15903847115572278,45.470779269378426,584358012.6377428,1965,1775,0.9267100977198697,15,90,0.16883116883116883,11,57,0.2127659574468085,9,78,0.6185567010309279
36,36,True,2.1225704741084632,121056.82811344645,426.8333333333334,[0.8983717  0.10227273 0.05       0.15591398],1050,2550,533.8025279903505,57163.54272859536,0.034482758620689655,555.5590277669271,0.24062626240208929,0.13755451051138948,0.9532563463140866,0.1687897779226741,45.782766277439684,599971122.402411,1943,1691,0.8983717012914093,39,97,0.10227272727272728,12,105,0.05,6,107,0.15591397849462366
37,37,True,1.7205220180395973,121428.50017885191,457.2500000000001,[0.948086   0.07843137 0.13953488 0.375     ],1050,2550,308.0232248953167,143200.25046775883,0.3488372093023256,413.73248478396914,0.34616057392628125,0.3474988916143034,0.9432583098145774,0.21952044204549617,59.010418684566304,672076401.7518495,1881,1858,0.9480859989512324,67,55,0.0784313725490196,39,49,0.13953488372093023,13,38,0.375
38,38,True,1.7332439132548676,103490.88306046116,457.2500000000001,[0.9423676  0.08910891 0.2        0.10810811],1050,2550,468.28403862229,10095.070059089077,0.0,471.59712271582634,0.29842895189594953,0.14921447594797477,0.9210859252714813,0.18777059654283024,41.50163585265288,562564005.5372667,1903,1871,0.942367601246106,75,55,0.0891089108910891,11,54,0.2,11,20,0.10810810810810811
39,39,True,1.9052742316869902,117559.7370916808,457.2500000000001,[0.91797936 0.136      0.1147541  0.56557377],1050,2550,56.6174806839783,15960.135597222346,0.5,94.64847243000456,0.7845159380347804,0.6422579690173902,0.9441636785409195,0.1604070474052503,42.625633247190635,643145630.0740507,1935,1766,0.9179793590439979,26,71,0.136,28,68,0.11475409836065574,11,95,0.5655737704918032
40,40,True,1.10010944233679,113710.66255506154,457.2500000000001,[0.93940963 0.06122449 0.14285714 0.22222222],1050,2550,211.950841248275,139930.25532088912,0.3220338983050847,351.0515339479084,0.4065159398548637,0.3642749190799742,0.9291816537954135,0.23829438849353263,59.502804229653336,596839176.8295096,1872,1873,0.9394096323148627,50,52,0.061224489795918366,43,48,0.14285714285714285,35,27,0.2222222222222222
41,41,True,0.4858249761781489,111570.92063887852,548.5000000000001,[0.94066937 0.05882353 0.06122449 0.03333333],1050,2550,427.0106795308034,262568.4059541039,0.2,524.5746576308957,0.26052323583723863,0.23026161791861932,0.9334486433621608,0.31533589154269676,44.36167141737924,538247556.6995311,1708,1914,0.9406693711967545,152,45,0.058823529411764705,79,26,0.061224489795918366,61,15,0.03333333333333333
42,42,True,3.1609531216238183,102037.9891988412,518.0833333333335,[0.85162714 0.02262443 0.10659898 0.37241379],1050,2550,31.305424223268606,6010.947735784186,0.7333333333333333,56.755209859129636,0.8645672561625752,0.7989502947479543,0.9307660516915128,0.15591633642332975,57.00250599382233,588775702.6568344,1941,1679,0.851627137341423,41,113,0.02262443438914027,11,109,0.1065989847715736,7,99,0.3724137931034483
43,43,True,1.0507288227245692,127088.98085314919,518.0833333333335,[0.96774194 0.12       0.2244898  0.32258065],1050,2550,211.85452719113317,128678.93608622643,0.4,316.79195516480974,0.44384180968606607,0.421920904843033,0.8956974229243556,0.26121729285143647,52.75084625824233,656423881.1954855,1877,1922,0.967741935483871,75,28,0.12,33,30,0.22448979591836735,15,20,0.3225806451612903
44,44,True,1.4289402271005496,140927.0417436617,609.3333333333334,[0.84527064 0.08928571 0.06315789 0.3358209 ],1050,2550,54.786616528988446,33038.15506686489,0.28,290.72019050397347,0.4745271777774361,0.377263588888718,0.8651079272769817,0.18340323033831407,57.013602310078156,635932948.3742472,1930,1688,0.8452706396938218,29,122,0.08928571428571429,20,101,0.06315789473684211,21,89,0.3358208955223881
45,45,True,0.9194312402999767,106034.82862263215,548.5000000000001,[0.94421272 0.04761905 0.10843373 0.21052632],1050,2550,98.5896877878631,84209.02234351453,0.2571428571428571,191.3864882346397,0.6121765331425538,0.43465969514270547,0.9363513465878367,0.2381186812349927,43.34443772258263,580495270.9157013,1850,1865,0.9442127215849844,94,55,0.047619047619047616,42,46,0.10843373493975904,14,34,0.21052631578947367
46,46,True,1.384893949049846,151858.76558387466,670.1666666666666,[0.96239052 0.20879121 0.13043478 0.61111111],1050,2550,234.2881302538381,83827.85682726245,0.35714285714285715,319.6249172378434,0.44062942194741384,0.3988861395451355,0.9459928659982164,0.2468390291341148,55.49468940130623,650232745.5705738,1890,1905,0.9623905203503349,68,55,0.2087912087912088,31,26,0.13043478260869565,11,14,0.6111111111111112
47,47,True,1.8473883917123795,83704.2918308826,426.8333333333334,[0.91464758 0.16201117 0.20805369 0.4516129 ],1050,2550,90.3857379161985,11176.497859857629,0.38461538461538464,103.9720404011828,0.7659832507152073,0.575299317665296,0.9155060063765017,0.1862184273290322,49.56424026509518,544746402.9793463,1930,1739,0.914647577092511,43,104,0.16201117318435754,14,90,0.2080536912751678,13,67,0.45161290322580644
48,48,True,1.8107731014810662,102758.5098399505,518.0833333333335,[0.90829215 0.17073171 0.11764706 0.58333333],1050,2550,120.83045973594572,26222.117402501208,0.45454545454545453,139.41843493598685,0.6994344727720591,0.5769899636587568,0.9546176896544224,0.18918712998982667,55.71703372629433,596425371.3148351,1941,1738,0.9082921471718836,30,120,0.17073170731707318,16,57,0.11764705882352941,13,85,0.5833333333333334
49,49,True,1.6481419235006198,95278.57132727568,396.41666666666674,[0.90367217 0.12222222 0.10077519 0.51923077],1050,2550,116.05793572369093,27688.893486935594,0.5,135.2466881911223,0.706956332156215,0.6034781660781074,0.9450649432662357,0.18281138844252148,45.41816772497397,579114329.4473622,1933,1789,0.903672166045769,40,101,0.12222222222222222,18,71,0.10077519379844961,9,39,0.5192307692307693
